TGT,PROMO,COMPETITION,MARKETING_ONLINE,MARKETING_ONLINE_SP,MARKETING_OFFLINE,MARKETING_OFFLINE_SP,OTHER_PRODUCTS,DISTRIBUTION,PRICE,seasonality_holidays,covid_new_cases
0.97 ,0.96 ,1.00 ,0.85 ,0.87 ,0.00 ,0.00 ,1.09 ,0.99 ,1.00 ,0.99 ,0.83 
0.96 ,0.94 ,0.98 ,0.78 ,0.85 ,0.00 ,0.00 ,1.07 ,0.99 ,1.00 ,0.99 ,0.81 
0.98 ,0.96 ,0.99 ,0.89 ,0.90 ,0.00 ,0.00 ,1.07 ,0.99 ,1.01 ,1.00 ,1.19 
0.97 ,0.97 ,1.01 ,0.87 ,0.91 ,0.00 ,0.00 ,0.97 ,0.98 ,1.04 ,0.99 ,0.89 
0.97 ,0.96 ,1.01 ,0.88 ,0.90 ,0.00 ,0.00 ,0.99 ,0.99 ,1.03 ,1.00 ,0.91 
0.97 ,0.96 ,1.01 ,0.83 ,0.90 ,0.00 ,0.00 ,0.98 ,0.99 ,1.03 ,0.99 ,0.90 
0.97 ,0.96 ,1.00 ,0.85 ,0.87 ,0.00 ,0.00 ,0.98 ,0.98 ,1.03 ,0.98 ,0.92 
0.96 ,0.94 ,0.99 ,0.93 ,0.89 ,0.00 ,0.00 ,0.97 ,0.98 ,1.02 ,0.97 ,0.93 
0.97 ,0.95 ,0.99 ,0.96 ,0.91 ,0.00 ,0.00 ,1.13 ,0.98 ,0.98 ,1.03 ,0.95 
0.98 ,0.97 ,1.02 ,0.96 ,0.88 ,0.00 ,0.00 ,1.15 ,0.98 ,0.98 ,1.05 ,0.94 
0.99 ,0.98 ,1.03 ,0.95 ,0.87 ,0.00 ,0.00 ,1.14 ,0.99 ,1.02 ,1.07 ,0.96 
0.99 ,0.99 ,1.03 ,0.95 ,0.88 ,0.00 ,0.00 ,1.14 ,0.99 ,1.04 ,1.06 ,1.00 
0.98 ,0.97 ,1.03 ,0.94 ,0.87 ,0.00 ,0.00 ,0.99 ,0.99 ,1.04 ,1.06 ,1.05 
0.98 ,0.96 ,1.01 ,0.92 ,0.85 ,0.00 ,0.00 ,0.91 ,0.98 ,1.02 ,1.06 ,1.07 
0.98 ,0.96 ,1.01 ,0.91 ,0.83 ,0.00 ,0.00 ,1.01 ,0.99 ,1.03 ,1.06 ,1.12 
0.98 ,0.97 ,1.01 ,0.97 ,0.89 ,0.00 ,0.00 ,1.05 ,0.99 ,1.04 ,1.06 ,1.17 
0.99 ,0.98 ,1.01 ,0.96 ,0.86 ,0.00 ,0.00 ,1.06 ,0.99 ,1.03 ,1.07 ,1.20 
0.99 ,0.98 ,1.00 ,1.05 ,0.96 ,0.00 ,0.00 ,1.07 ,1.00 ,1.02 ,1.08 ,1.22 
0.99 ,1.00 ,1.00 ,1.00 ,0.91 ,0.00 ,0.00 ,1.03 ,1.00 ,1.01 ,1.08 ,1.24 
1.00 ,1.02 ,1.02 ,0.98 ,0.87 ,0.00 ,0.00 ,1.00 ,1.00 ,1.01 ,1.09 ,1.24 
